Substrate	Protein_ID	Protein_details	Organism_ID	Organism_name	Km_value	Conditions	References
glycerol 3-phosphate	-----	-----	1	Gallus gallus	2.0	-----	11
NADH	-----	-----	1	Gallus gallus	0.006	-----	11
dihydroxyacetone phosphate	-----	-----	1	Gallus gallus	0.23	#19# in MOPS buffer, 0.33 mM in Tris-histidine <10>	10,11
NAD+	-----	-----	1	Gallus gallus	0.5	#31# enzyme from euthermic animal, at pH 7.5 and 37°C <85>; #31# pH 7.5, 37°C, euthermic G3PDH enzyme <85>	11,85
NADH	-----	-----	11	Saccharomyces cerevisiae	0.023	-----	2
dihydroxyacetone phosphate	-----	-----	11	Saccharomyces cerevisiae	0.54	#11# at pH 7.0 and 25°C <93>	2,93
glycerol-3-phosphate	-----	-----	11	Saccharomyces cerevisiae	34.0	#11# isoform Gut2, pH 6.8 <35>	35
NADH	-----	-----	11	Saccharomyces cerevisiae	0.051	#11# at pH 7.0 and 25°C <93>	93
NAD+	13	{'comment': '#13# isoform rrf-1 <7>'}	13	Oryctolagus cuniculus	0.083	-----	15
DL-glycerol-3-phosphate	13	{'comment': '#13# isoform rrf-1 <7>'}	13	Oryctolagus cuniculus	0.3	#13# I6.5 <17>	17
NADH	13	{'comment': '#13# isoform rrf-1 <7>'}	13	Oryctolagus cuniculus	0.022	-----	15
alpha-glycerophosphate	13	{'comment': '#13# isoform rrf-1 <7>'}	13	Oryctolagus cuniculus	0.11	-----	3
dihydroxyacetone phosphate	13	{'comment': '#13# isoform rrf-1 <7>'}	13	Oryctolagus cuniculus	0.2	#13# I6.5 <17>	17
DL-glycerol-3-phosphate	13	{'comment': '#13# isoform rrf-1 <7>'}	13	Oryctolagus cuniculus	0.4	#13# adipose tissue <7>	7
dihydroxyacetone phosphate	13	{'comment': '#13# isoform rrf-1 <7>'}	13	Oryctolagus cuniculus	0.25	#13# adipose tissue <7>	7
DL-glycerol-3-phosphate	13	{'comment': '#13# isoform rrf-1 <7>'}	13	Oryctolagus cuniculus	0.19	#13# muscle <7>	7
NAD+	13	{'comment': '#13# isoform rrf-1 <7>'}	13	Oryctolagus cuniculus	0.01	#13# muscle <7>; #13# I6.5 <17>	7,17
dihydroxyacetone phosphate	13	{'comment': '#13# isoform rrf-1 <7>'}	13	Oryctolagus cuniculus	0.15	#13# muscle <7>	7
dihydroxyacetone phosphate	13	{'comment': '#13# isoform rrf-1 <7>'}	13	Oryctolagus cuniculus	0.075	-----	15
NADH	13	{'comment': '#13# isoform rrf-1 <7>'}	13	Oryctolagus cuniculus	0.0043	#13# adipose tissue <7>	7
NAD+	13	{'comment': '#13# isoform rrf-1 <7>'}	13	Oryctolagus cuniculus	0.0044	#13# adipose tissue <7>	7
dihydroxyacetone phosphate	13	{'comment': '#13# isoform rrf-1 <7>'}	13	Oryctolagus cuniculus	0.46	-----	3
glycerol 3-phosphate	13	{'comment': '#13# isoform rrf-1 <7>'}	13	Oryctolagus cuniculus	0.909	-----	15
dihydroxyacetone phosphate	-----	-----	15	Spinacia oleracea	0.3	#15# 0.30-0.35 mM <16>	16
NAD+	-----	-----	15	Spinacia oleracea	0.19	-----	16
glycerol phosphate	-----	-----	15	Spinacia oleracea	1.6	-----	16
dihydroxyacetone phosphate	-----	-----	18	Trypanosoma brucei	0.1	-----	28
