Substrate	Protein_ID	Protein_details	Organism_ID	Organism_name	Km_value	Conditions	References
(3R,3S)-butane-2,3-diol	-----	-----	13	Klebsiella pneumoniae	4.15	#13# enzyme GldA, at pH 9.0 and 30°C <27>	27
meso-butane-2,3-diol	-----	-----	13	Klebsiella pneumoniae	4.94	#13# enzyme GldA, at pH 9.0 and 30°C <27>	27
(2R,3R)-butane-2,3-diol	-----	-----	13	Klebsiella pneumoniae	119.3	#13# enzyme GldA, at pH 9.0 and 30°C <27>	27
glycerol	-----	-----	13	Klebsiella pneumoniae	93.62	#13# enzyme DhaD, at pH 9.0 and 30°C <27>	27
(2R,3R)-butane-2,3-diol	-----	-----	13	Klebsiella pneumoniae	236.4	#13# enzyme DhaD, at pH 9.0 and 30°C <27>	27
meso-butane-2,3-diol	-----	-----	13	Klebsiella pneumoniae	37.39	#13# enzyme DhaD, at pH 9.0 and 30°C <27>	27
(3R,3S)-butane-2,3-diol	-----	-----	13	Klebsiella pneumoniae	12.06	#13# enzyme DhaD, at pH 9.0 and 30°C <27>	27
glycerol	-----	-----	13	Klebsiella pneumoniae	14.49	#13# enzyme GldA, at pH 9.0 and 30°C <27>	27
(2S)-acetoin	-----	-----	14	Corynebacterium glutamicum	0.23	#14# at pH 10.5 and 30°C <22>	22
(R)-acetoin	-----	-----	14	Corynebacterium glutamicum	1.49	#14# at pH 7.0 and 30°C <22>	22
(2S,3S)-butane-2,3-diol	-----	-----	14	Corynebacterium glutamicum	0.052	#14# at pH 10.5 and 30°C <22>	22
(R,R)-butane-2,3-diol	-----	-----	14	Corynebacterium glutamicum	2.01	#14# at pH 10.5 and 30°C <22>	22
NADH	-----	-----	18	Paenibacillus polymyxa	0.1	-----	3
NAD+	-----	-----	18	Paenibacillus polymyxa	0.2	-----	3
(3R,3S)-acetoin	-----	-----	18	Paenibacillus polymyxa	0.2	#18# pH 7.0, 30°C <19>	19
meso-2,3-butanediol	-----	-----	18	Paenibacillus polymyxa	6.25	-----	3
NADH	-----	-----	18	Paenibacillus polymyxa	0.32	#18# pH 7.0, 30°C <19>	19
D-(-)2,3-butanediol	-----	-----	18	Paenibacillus polymyxa	3.3	-----	3
acetoin	-----	-----	18	Paenibacillus polymyxa	0.84	#18# (S)-acetoin, pH 7.0, 30°C <19>	19
NAD+	-----	-----	18	Paenibacillus polymyxa	2.3	#18# pH 7.0, 30°C <19>	19
acetoin	-----	-----	18	Paenibacillus polymyxa	0.53	-----	3
1,2-propanediol	-----	-----	18	Paenibacillus polymyxa	38.0	-----	3
meso-butane-2,3-diol	-----	-----	18	Paenibacillus polymyxa	2.73	#18# pH 7.0, 30°C <19>	19
diacetyl	-----	-----	18	Paenibacillus polymyxa	87.0	-----	3
(2R,3R)-butane-2,3-diol	-----	-----	18	Paenibacillus polymyxa	7.67	#18# pH 7.0, 30°C <19>	19
