Substrate	Protein_ID	Protein_details	Organism_ID	Organism_name	kcat_value	Conditions	References
DL-glyceraldehyde	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	0.52	#18# pH 7.0, 25°C <14>	14
D-ribulose	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	0.52	#18# pH 7.0, 25°C <14>	14
L-threose	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	0.52	#18# pH 7.0, 25°C <14>	14
NADH	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	3.8	#18# pH 7.0, 25°C <14>	14
D-xylulose	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	0.1	#18# pH 7.0, 25°C <14>	14
NADPH	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	1.5	#18# pH 7.0, 25°C <14>	14
NAD+	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	1.5	#18# pH 7.0, 25°C <14>	14
diacetyl	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	1.6	#18# pH 7.0, 25°C <14>	14
NADP+	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	0.65	#18# pH 7.0, 25°C <14>	14
L-xylulose	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	0.65	#18# pH 7.0, 25°C <14>	14
acetoin	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	0.65	#18# pH 7.0, 25°C <14>	14
D-threose	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	0.82	#18# pH 7.0, 25°C <14>	14
xylitol	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	0.6	#18# pH 7.0, 25°C <14>	14
L-erythrulose	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	0.6	#18# pH 7.0, 25°C <14>	14
diacetyl	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	0.009	#18# pH 7.0, 25°C, mutant N107D <17>	17
diacetyl	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	0.0008	#18# pH 7.0, 25°C, mutant N107L <17>	17
D-erythrose	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	0.43	#18# pH 7.0, 25°C <14>	14
D-threitol	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	0.48	#18# pH 7.0, 25°C <14>	14
dihydroxyacetone	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	0.23	#18# pH 7.0, 25°C <14>	14
diacetyl	18	{'accessions': ['Q7Z4W1'], 'source': 'uniprot'}	18	Homo sapiens	1.57	#18# pH 7.0, 25°C, wild-type enzyme <17>	17
dihydroxyacetone	20	{'accessions': ['Q91X52'], 'source': 'uniprot'}	20	Mus musculus	3.3	#20# pH 7.0, 25°C <14>	14
NADP+	20	{'accessions': ['Q91X52'], 'source': 'uniprot'}	20	Mus musculus	15.0	#20# pH 7.0, 25°C <14>	14
NADPH	20	{'accessions': ['Q91X52'], 'source': 'uniprot'}	20	Mus musculus	34.0	#20# pH 7.0, 25°C <14>	14
acetoin	20	{'accessions': ['Q91X52'], 'source': 'uniprot'}	20	Mus musculus	3.0	#20# pH 7.0, 25°C <14>	14
NAD+	20	{'accessions': ['Q91X52'], 'source': 'uniprot'}	20	Mus musculus	55.0	#20# pH 7.0, 25°C <14>	14
D-xylulose	20	{'accessions': ['Q91X52'], 'source': 'uniprot'}	20	Mus musculus	7.4	#20# pH 7.0, 25°C <14>	14
xylitol	20	{'accessions': ['Q91X52'], 'source': 'uniprot'}	20	Mus musculus	17.0	#20# pH 7.0, 25°C <14>	14
NADH	20	{'accessions': ['Q91X52'], 'source': 'uniprot'}	20	Mus musculus	41.0	#20# pH 7.0, 25°C <14>	14
diacetyl	20	{'accessions': ['Q91X52'], 'source': 'uniprot'}	20	Mus musculus	41.0	#20# pH 7.0, 25°C <14>	14
D-ribulose	20	{'accessions': ['Q91X52'], 'source': 'uniprot'}	20	Mus musculus	26.0	#20# pH 7.0, 25°C <14>	14
DL-glyceraldehyde	20	{'accessions': ['Q91X52'], 'source': 'uniprot'}	20	Mus musculus	24.0	#20# pH 7.0, 25°C <14>	14
L-erythrulose	20	{'accessions': ['Q91X52'], 'source': 'uniprot'}	20	Mus musculus	23.0	#20# pH 7.0, 25°C <14>	14
D-threose	20	{'accessions': ['Q91X52'], 'source': 'uniprot'}	20	Mus musculus	23.0	#20# pH 7.0, 25°C <14>	14
D-erythrose	20	{'accessions': ['Q91X52'], 'source': 'uniprot'}	20	Mus musculus	18.0	#20,21# pH 7.0, 25°C <14>	14
