Protein_ID	Accession	Source	Comments
4	-----	-----	[{'comment': '#4# isoform GLO4 <62>; #4# isoform GLOX1, cf. EC 1.2.3.1 <58>; #4# isoform Glox2 <43>'}, {'comment': '#4# isoform GLO4 <62>; #4# isoform GLOX1, cf. EC 1.2.3.1 <58>; #4# isoform Glox2 <43>'}]
6	-----	-----	[{'comment': '#6# isoform GLOX2, cf. EC 1.2.3.1 <48>; #6# isoform Glox3 <9>'}, {'comment': '#6# isoform GLOX2, cf. EC 1.2.3.1 <48>; #6# isoform Glox3 <9>'}]
9	-----	-----	[{'comment': '#9# isoform GLOX3, cf. EC 1.2.3.1 <21>; #9# isoform Glox3, cf. EC 1.2.3.15 <13>; #9# isoform GLOX4, cf. EC 1.2.3.1 <16>; #9# isoform GLOX5, cf. EC 1.2.3.1 <23>; #9# isoform GLOX6, cf. EC 1.2.3.1 <17>; #9# isoform GltB <20>; #9# isoform GOGAT1 <22>; #9# isoform GOGAT2 <53>; #9# isoform GRX1 <96>; #9# isoform GRX2 <11,16>; #9# isoform GRX3, CGFS type enzyme <15>; #9# isoform GRX5 <14>; #9# isoform GRX6 <18,21>'}, {'comment': '#9# isoform GLOX3, cf. EC 1.2.3.1 <21>; #9# isoform Glox3, cf. EC 1.2.3.15 <13>; #9# isoform GLOX4, cf. EC 1.2.3.1 <16>; #9# isoform GLOX5, cf. EC 1.2.3.1 <23>; #9# isoform GLOX6, cf. EC 1.2.3.1 <17>; #9# isoform GltB <20>; #9# isoform GOGAT1 <22>; #9# isoform GOGAT2 <53>; #9# isoform GRX1 <96>; #9# isoform GRX2 <11,16>; #9# isoform GRX3, CGFS type enzyme <15>; #9# isoform GRX5 <14>; #9# isoform GRX6 <18,21>'}]
10	-----	-----	[{'comment': '#10# isoform GtlS <51>; #10# isoform HAOX-1 <50>'}, {'comment': '#10# isoform GtlS <51>; #10# isoform HAOX-1 <50>'}]
11	-----	-----	[{'comment': '#11# isoform GLO1 <91>; #11# isoform GLO3 <87>'}, {'comment': '#11# isoform GLO1 <91>; #11# isoform GLO3 <87>'}]
18	-----	-----	[{'comment': '#18# isoenzyme mMDH <79>'}, {'comment': '#18# isoenzyme mMDH <79>'}]
20	-----	-----	[{'comment': '#20# isozyme COR1.1 <97>; #20# isozyme COR1.2 <75>'}, {'comment': '#20# isozyme COR1.1 <97>; #20# isozyme COR1.2 <75>'}]
21	-----	-----	[{'comment': '#21# isoform Utx1 <71>'}, {'comment': '#21# isoform Utx1 <71>'}]
38	-----	-----	[{'comment': '#38# isoform PYCR1 <95>'}, {'comment': '#38# isoform PYCR1 <95>'}]
43	-----	-----	[{'comment': '#43# isoform LAAO4 <35>; #43# isoform Pfor1, NifJ1 <28,41,42>'}, {'comment': '#43# isoform LAAO4 <35>; #43# isoform Pfor1, NifJ1 <28,41,42>'}]
