ID	Title	Authors	Journal	Year	Pages	Volume	PMID
1	A sensitive and stereospecific enzymatic assay for xylulose. J. Biol	Hickman, J.,Ashwell, G.	Chem.	1959	758-761	234	13654257
2	Erythritol dehydrogenase from Aerobacter aerogenes. Biochim. Biophys	Jakoby, W.B.,Fredericks, J.	Acta	1961	26-32	48	13789254
3	A new pathway of pentose metabolism. Biochem. Biophys. Res	Chiang, C.,Knight, S.G.	Commun.	1960	554-559	3	13692998
4	Purification and properties of xylitol dehydrogenase from the xylose-fermenting yeast Candida shehatae. Appl. Biochem	Yang, V.W.,Jeffries, T.W.	Biotechnol.	1990	197-206	26	-----
5	Affinity purifications of aldose reductase and xylitol dehydrogenase from the xylose-fermenting yeast Pachysolen tannophilus. Appl. Environ	Bolen, P.L.,Roth, K.A.,Freer, S.N.	Microbiol.	1986	660-664	52	16347161
6	Chirality of xylitol-oxidizing enzymes from mammalian liver	Alizade, M.A.,Brendel, K.,Gaede, K.	FEBS Lett.	1976	41-44	67	8339
7	Inducible xylitol dehydrogenases in enteric bacteria. J	Doten, R.C.,Mortlock, R.P.	Bacteriol.	1985	845-848	162	3886639
8	Purification and properties of D-xylulose reductase from Pachysolen tannophilus. J. Ferment	Morimoto, S.,Matsuo, M.,Azuma, K.,Sinskey, A.J.	Technol.	1986	219-225	64	-----
9	Dual relationships of xylitol and alcohol dehydrogenases in families of two protein types	Persson, B.,Hallborn, J.,Walfridsson, M.,Hahn-Haegerdal, B.,Keraenen, S.,Penttilae, M.,Joernvall, H.	FEBS Lett.	1993	9-14	324	8504864
10	Effect of D-glucose on induction of xylose reductase and xylitol dehydrogenase in Candida tropicalis in the presence of NaCl. J	Ikeuchi, T.,Kiritani, R.,Azuma, M.,Ooshima, H.	Basic Microbiol.	2000	167-175	40	10957958
11	Induction of aldose reductase and xylitol dehydrogenase activities in Candida tenuis CBS 4435. FEMS Microbiol	Kern, M.,Haltrich, D.,Nidetzky, B.,Kulbe, K.D.	Lett.	1997	31-37	149	9103975
12	Induction and regulation of D-xylose catabolizing enzymes in Fusarium oxysporum. Biochem	Singh, A.,Schuegerl, K.	Int.	1992	481-488	28	1482390
13	Development of a xylitol biosensor composed of xylitol dehydrogenase and diaphorase. Can. J	Takamizawa, K.,Uchida, S.,Hatsu, M.,Suzuki, T.,Kawai, K.	Microbiol.	2000	350-357	46	10779871
14	Effect of nitrogen sources on oxidoreductive enzymes and ethanol production during D-xylose fermentation by Candida shehatae. Can. J	Palnitkar, S.,Lachke, A.	Microbiol.	1992	258-260	38	1393828
15	Evidence that the gene YLR070c of Saccharomyces cerevisiae encodes a xylitol dehydrogenase	Richard, P.,Toivari, M.H.,Penttilae, M.	FEBS Lett.	1999	135-138	457	10486580
16	Changing flux of xylose metabolites by altering expression of xylose reductase and xylitol dehydrogenase in recombinant Saccharomyces cerevisiae. Appl. Biochem	Jin, Y.S.,Jeffries, T.W.	Biotechnol.	2003	277-286	105 -108	12721451
17	Xylose reductase and xylitol dehydrogenase activities of Candida guilliermondii as a function of different treatments of sugarcane bagasse hemicellulosic hydrolysate employing experimental design. Appl. Biochem	Alves, L.A.,Vitolo, M.,Felipe, M.G.,de Almeida e Silva, J.B.	Biotechnol.	2002	403-413	98-100	12018268
18	Utilization of xylitol dehydrogenase in a combined microbial/enzymatic process for production of xylitol from D-glucose. Appl. Biochem	Mayer, G.,Kulbe, K.D.,Nidetzky, B.	Biotechnol.	2002	577-589	98-100	12018283
19	Effect of acetic acid present in bagasse hydrolysate on the activities of xylose reductase and xylitol dehydrogenase in Candida guilliermondii. Appl. Microbiol	Lima, L.H.,das Gracas de Almeida Felipe, M.,Vitolo, M.,Torres, F.A.	Biotechnol.	2004	734-738	65	15107950
20	Cloning of the xylitol dehydrogenase gene from Gluconobacter oxydans and improved production of xylitol from D-arabitol. Biosci. Biotechnol	Sugiyama, M.,Suzuki, S.,Tonouchi, N.,Yokozeki, K.	Biochem.	2003	584-591	67	12723607
21	Purification and characterization of NAD+-dependent xylitol dehydrogenase from Fusarium oxysporum. Biotechnol	Panagiotou, G.,Kekos, D.,Macris, B.J.,Christakopoulos, P.	Lett.	2002	2089-2092	24	-----
22	Characterization of recombinant xylitol dehydrogenase from Galactocandida mastotermitis expressed in Escherichia coli. Chem. Biol	Nidetzky, B.,Helmer, H.,Klimacek, M.,Lunzer, R.,Mayer, G.	Interact.	2003	533-542	143-144	12604239
23	Influence of pH on the xylose reductase activity of Candida guilliermondii during fed-batch xylitol bioproduction. J	Godoy de Andrade Rodrigues, D.C.,Silverio da Silva, S.,Vitolo, M.	Basic Microbiol.	2002	201-206	42	12111747
24	Cloning and expression of a NAD+-dependent xylitol dehydrogenase gene (xdhA) of Aspergillus oryzae. J. Biosci	Tran, L.H.,Kitamoto, N.,Kawai, K.,Takamizawa, K.,Suzuki, T.	Bioeng.	2004	419-422	97	16233653
25	Optimized extraction by cetyl trimethyl ammonium bromide reversed micelles of xylose reductase and xylitol dehydrogenase from Candida guilliermondii homogenate. J. Chromatogr	Cortez, E.V.,Pessoa, A.Jr.,das Gracas de Almeida Felipe, M.,Roberto, I.C.,Vitolo, M.	B	2004	47-54	807	15177159
26	The activity of xylose reductase and xylitol dehydrogenase in yeasts	Yablochkova, E.N.,Bolotnikova, O.I.,Mikhailova, N.P.,Nemova, N.N.,Ginak, A.I.	Microbiology	2003	414-417	72	14526534
27	Investigation of limiting metabolic steps in the utilization of xylose by recombinant Saccharomyces cerevisiae using metabolic engineering	Karhumaa, K.,Hahn-Haegerdal, B.,Gorwa-Grauslund, M.F.	Yeast	2005	359-368	22	15806613
28	Characterization of the AXDH gene and the encoded xylitol dehydrogenase from the dimorphic yeast Arxula adeninivorans	Böer, E.,Wartmann, T.,Schmidt, S.,Bode, R.,Gellissen, G.,Kunze, G.	Antonie van Leeuwenhoek	2005	233-243	87	15803389
29	Production of xylitol from D-xylose by a xylitol dehydrogenase gene-disrupted mutant of Candida tropicalis. Appl. Environ	Ko, B.S.,Kim, J.,Kim, J.H.	Microbiol.	2006	4207-4213	72	16751533
30	Response surface methodology as an approach to determine the optimal activities of xylose reductase and xylitol dehydrogenase enzymes from Candida mogii. Appl. Microbiol	Mayerhoff, Z.D.,Roberto, I.C.,Franco, T.T.	Biotechnol.	2006	761-767	70	16505992
31	Enhanced xylitol production by precultivation of Candida guilliermondii cells in sugarcane bagasse hemicellulosic hydrolysate. Curr	Rodrigues, R.C.,Sene, L.,Matos, G.S.,Roberto, I.C.,Pessoa, A.,Felipe, M.G.	Microbiol.	2006	53-59	53	16775788
32	Complete reversal of coenzyme specificity of xylitol dehydrogenase and increase of thermostability by the introduction of structural zinc. J. Biol	Watanabe, S.,Kodaki, T.,Makino, K.	Chem.	2005	10340-10349	280	15623532
33	Effect of glucose:xylose ratio on xylose reductase and xylitol dehydrogenase activities from Candida guilliermondii in sugarcane bagasse hydrolysate. J. Chem. Technol	Virginio da Silva, D.D.,Felipe, M.	Biotechnol.	2006	1294-1300	81	-----
34	Structure-guided engineering of xylitol dehydrogenase cosubstrate specificity	Ehrensberger, A.H.,Elling, R.A.,Wilson, D.K.	Structure	2006	567-575	14	16531240
