ID	Title	Authors	Journal	Year	Pages	Volume	PMID
1	Human liver aldehyde reductase: pH dependence of steady-state kinetic parameters. Arch. Biochem	Bhatnagar, A.,Das, B.,Liu, S.Q.,Srivastava, S.K.	Biophys.	1991	329-336	287	1654814
2	Inhibition of human aldehyde reductase by drugs for testing the function of liver and kidney. Biol. Pharm	Shinoda, M.,Mori, S.,Shintani, S.,Ishikura, S.,Hara, A.	Bull.	1999	741-744	22	10443476
3	Purification and characterization of a reduced nicotinamide adenine dinucleotide phosphate-linked aldehyde reductase from brain. J. Biol	Tabakoff, B.,Erwin, G.	Chem.	1970	3263-3268	245	4393513
4	Triphosphopyridine nucleotide-linked aldehyde reductase I. Purification and properties of the enzyme from pig kidney cortex. J. Biol	Bosron, W.F.,Prairie, R.L.	Chem.	1972	4480-4485	217	4402936
5	The characterization of two reduced nicotinamide-adenine dinucleotide phosphate-linked aldehyde reductases from pig brain. Biochem	Turner, A.J.,Tipton, K.F.	J.	1972	765-772	130	4146452
6	Properties of the nicotinamide adenine dinucleotide phosphate-dependent aldehyde reductase from pig kidney. Amino acid composition, reactivity of cysteinyl residues, and stereochemistry of D-glyceraldehyde reduction. J. Biol	Flynn, T.G.,Shires, J.,Walton, D.J.	Chem.	1975	2933-2940	250	235531
7	Purification and properties of NADPH-dependent aldehyde reductase from human liver. J. Biol	Wermuth, B.,Muench, J.D.B.,von Wartburg, J.P.	Chem.	1977	3821-3828	252	16919
8	Substrate specificity and kinetic properties of NADP+-dependent alcohol dehydrogenase of Phycomyces blakesleeanus	Hartz, T.K.,Houston, M.R.,Lockwood, L.B.	Mycologia	1978	586-593	70	-----
9	Purification and compositional relatedness of aldehyde reductase from several species. Biochem. Soc	Davidson, W.S.,Weihrauch, L.,Flynn, T.G.	Trans.	1978	940-943	576	744352
10	Kinetics and mechanism of action of aldehyde reductase from pig kidney. Biochem. Soc	Davidson, W.S.,Flynn, T.G.	Trans.	1978	943-945	576	33851
11	Purification and some properties of aldehyde reductases from pig liver. Eur. J	Branlant, G.M,Biellmann, J.F.	Biochem.	1980	611-621	105	6989609
12	Some properties of pig kidney-cortex aldehyde reductase. Biochem	Morpeth, F.F.,Dickinson, F.M.	J.	1980	619-626	191	7016111
