ID	Title	Authors	Journal	Year	Pages	Volume	PMID
1	Stereospecific and electrophoretic natures of bacterial 2,3-butanediol dehydrogenases. J. Ferment	Sadaharu, U.,Masuda, H.,Miroyuhi, M.	Technol.	1983	467-471	61	-----
2	Fermentation enzymes in strains of Paracoccus denitrificans. Arch	Nokhal, T.H.,Schlegel, H.G.	Microbiol.	1986	197-201	145	-----
3	Bacterial 2,3-butanediol dehydrogenases. Arch	Höhn-Bentz, H.,Radler, F.	Microbiol.	1978	197-203	116	25056
4	Characterization and functional role of Saccharomyces cerevisiae 2,3-butanediol dehydrogenase. Chem. Biol	Gonzalez, E.,Fernandez, M.R.,Larroy, C.,Pares, X.,Biosca, J.A.	Interact.	2001	425-434	130	11306064
5	Purification and characterization of a (R)-2,3-butanediol dehydrogenase from Saccharomyces cerevisiae. Arch	Heidlas, J.,Tressl, R.	Microbiol.	1990	267-273	154	2222122
6	Properties of 2,3-butanediol dehydrogenase from Lactococcus lactis subsp. lactis in relation to citrate fermentation. Appl. Environ	Crow, V.L.	Microbiol.	1990	1656-1665	56	16348209
7	Purification, characterization and some properties of diacetyl(acetoin) reductase from Enterobacter aerogenes. Eur. J	Carballo, J.,Martin, R.,Bernardo, A.,Gonzalez, J.	Biochem.	1991	327-332	198	2040298
8	Characterization of a (2R,3R)-2,3-butaendiol dehydrogenase as the Saccharomyces cerevisiae YAL060W gene product. J. Biol	Gonzalez, E.,Fernandez, M.R.,Larroy, C.,Sola, L.,Pericas, M.A.,Pares, X.,Biosca, J.A.	Chem.	2000	35876-35885	275	10938079
9	Enhancement of (R,R)-2,3-butanediol production from xylose by Paenibacillus polymyxa at elevated temperatures. Biotechnol	Marwoto, B.,Nakashimada, Y.,Kakizono, T.,Nishio, N.	Lett.	2002	109-114	24	-----
10	Production and characterization of a thermostable alcohol dehydrogenase that belongs to the aldo-keto reductase uperfamily. Appl. Environ	Machielsen, R.,Uria, A.R.,Kengen, S.W.,van der Oost, J.	Microbiol.	2006	233-238	72	16391048
11	Enhanced 2,3-butanediol production by altering the mixed acid fermentation pathway in Klebsiella oxytoca. Biotechnol	Ji, X.J.,Huang, H.,Li, S.,Du, J.,Lian, M.	Lett.	2008	731-734	30	18008166
12	Citrate metabolism by Enterococcus faecium and Enterococcus durans isolated from goats and ewes milk: influence of glucose and lactose. Can. J	Cabral, M.E.,Abeijon Mukdsi, M.C.,Medina de Figueroa, R.B.,Gonzalez, S.N.	Microbiol.	2007	607-615	53	17668019
13	The Bacillus subtilis ydjL (bdhA) gene encodes acetoin reductase/2,3-butanediol dehydrogenase. Appl. Environ	Nicholson, W.L.	Microbiol.	2008	6832-6838	74	18820069
