ID	Title	Authors	Journal	Year	Pages	Volume	PMID
1	Purification and properties of two distinct groups of ADH isozymes from Chinese hamster liver. Biochem	Talbot, B.G.,Qureshi, A.A.,Cohen, R.,Thirion, J.P.	Genet.	1981	813-829	19	6794566
2	Isolation and characterization of grass carp (Ctenopharyngodon idellus) liver alcohol dehydrogenase. Comp. Biochem. Physiol	Fong, W.P.	B	1991	297-302	98	-----
3	Extraction, purification and characterization of ADH1 from the budding yeast Kluyveromyces marxianus. Ital. J	Pessione, E.,Pergola, L.,Cavaletto, M.,Giunta, C.,Trotta, A.,Vanni, A.	Biochem.	1990	71-82	39	2193901
4	Characterization of alcohol dehydrogenase isolated from germinating bean (Vicia faba) seeds. Collect. Czech. Chem	Leblova, S.,El Ahmad, M.	Commun.	1989	2519-2527	54	-----
5	Isolation and characterization of shrew (Suncus murinus) liver alcohol dehydrogenase. Comp. Biochem. Physiol	Keung, W.M.,Ho, Y.W.,Fong, W.P.,Lee, C.Y.	B	1989	169-173	93	2666017
6	Purification and biochemical properties of rice alcohol dehydrogenase. Bot. Bull. Acad	Tong, W.F.,Lin, S.W.	Sin.	1988	245-253	29	-----
7	Characterization of alcohol dehydrogenase in Najas marina L. Aquat	Van Geyt, J.,Jacobs, M.,Triest, L.	Bot.	1987	129-141	28	-----
8	Determination of some biochemical features of alcohol dehydrogenase from Drosophila melanogaster, Drosophila simulans, Drosophila virilis, Drosophila funebris, Drosophila imigrans and drosophila lebanonensis. Comparison of their properties and estimation of the homology of the ADH enzyme of different species. Adv. Genet. , Dev. , Evol. Drosophila, [Proc. Eur. Drosophila Res. Conf. ] (Lakovaara, S. , ed. ) Plenum N	Vilageliu, L.,Juan, E.,Gonzalez-Duarte, R.	Y.	1982	237-250	7	-----
9	Alcohol dehydrogenase gene expression and cloning of the mouse chi-like ADH. Adv. Exp. Med	Edenberg, H.J.,Brown, C.J.,Carr, L.G.,Ho, W.H.,Hu, M.W.	Biol.	1991	253-262	284	2053480
10	Comparative kinetics of human and rat liver alcohol dehydrogenase. Biochem. Soc	Herrera, E.,Zorzano, A.,Fresneda, V.	Trans.	1983	729-730	11	-----
11	Organ-specific human alcohol dehydrogenase: isolation and characterization of isozymes from testis. Biochem. Biophys. Res	Dafeldecker, W.P.,Vallee, B.L.	Commun.	1986	1056-1063	134	2936344
12	Alcohol dehydrogenase from human liver	Woronick, C.L.	Methods Enzymol.	1975	369-374	41B	236461
