ID	Title	Authors	Journal	Year	Pages	Volume	PMID
1	Glycolytic enzymes of Trypanosoma brucei. Simultaneous purification, intraglycosomal concentrations and physical properties. Eur. J	Misset, O.,Bos, O.J.M.,Opperdoes, F.R.	Biochem.	1986	441-453	157	2940090
2	Purification and characterization of glycerol-3-phosphate dehydrogenase of Saccharomyces cerevisiae	Albertyn, J.,Van Tonder, A.,Prior, B.A.	FEBS Lett.	1992	130-132	308	1499720
3	alpha-Glycerophosphate dehydrogenase. The Enzymes, 2nd Ed. (Boyer, P. D. , Lardy, H. , Myrbäck, K. , eds	Baranowski, T.	)	1963	85-96	7	-----
4	Comparative structural properties of honeybee and rabbit alpha-glycerophosphate dehydrogenases	Brosemer, R.W.,Kuhn, R.W.	Biochemistry	1969	2095-2105	8	4307630
5	Studies on L-glycerol-3-phosphate dehydrogenases in Japanese quail, Coturnix coturnix japonica. I. Multiple components and some enzymatic properties of nicotinamide adenine dinucleotide-linked L-glycerol-3-phosphate dehydrogenase from liver and testes. J	Yamada, M.	Biochem.	1972	1081-1086	72	4346261
6	Purification and properties of rabbit muscle L-glycerol 3-phosphate dehydrogenase. Biochem	Bentley, P.,Dickinson, F.M.,Jones, I.G.	J.	1973	853-859	135	4778280
7	Isolation and characterization of cytoplasmic L-glycerol-3-phosphate dehydrogenase from rabbit renal adipose tissue and its comparison with the skeletal muscle enzyme. Eur. J	Warkentin, D.L.,Fondy, T.P.	Biochem.	1973	97-109	36	4200180
8	Purification and characterization of rat brain glycerol phosphate dehydrogenase. Biochim. Biophys	McGinnis, J.F.,DeVellis, J.	Acta	1974	17-27	364	4433563
9	A study of the coenzyme-binding characteristics of rabbit muscle L-glycerol 3-phosphate dehydrogenase. Biochem	Bentley, P.,Dickinson, F.M.	J.	1974	11-17	143	4377218
10	Glycerol-3-phosphate dehydrogenase from the honey bee	Fink, S.C.,Brosemer, R.W.	Methods Enzymol.	1975	240-245	41B	236444
11	Glycerol phosphate dehydrogenase of chicken breast muscle	White, H.B.	Methods Enzymol.	1975	245-249	41B	236445
12	Purification of alpha-glycerophosphate dehydrogenase from Drosophila melanogaster. Biochim. Biophys	Collier, G.E.,Sullivan, D.T.,MacIntyre, R.J.	Acta	1976	316-323	429	-----
13	Isolation and characterization of multiple molecular forms of cytosolic NAD-linked glycerol-3-phosphate dehydrogenase from normal and neoplastic rabbit tissues. J. Biol	Ostro, M.J.,Fondy, T.P.	Chem.	1977	5575-5583	252	195955
