ID	Title	Authors	Journal	Year	Pages	Volume	PMID
1	Localisation and characterisation of homoserine dehydrogenase isolated from barley and pea leaves	Sainis, J.K.,Mayne, R.G.,Wallsgrove, R.M.,Lea, P.J.,Miflin, B.J.	Planta	1981	491-496	152	24301152
2	Use of monoclonal antibodies for the purification and characterization of the threonine-sensitive isozyme of maize homoserine dehydrogenase. Arch. Biochem	Krishnaswamy, S.,Bryan, J.K.	Biophys.	1986	250-262	246	3083775
3	Ligand-induced interconversions of maize homoserine dehydrogenase among different states. Arch. Biochem	Krishnaswamy, S.,Bryan, J.K.	Biophys.	1983	449-463	222	6405698
4	Isolation and characterization of two homoserine dehydrogenases from maize suspension cultures. J. Biol	Walter, T.J.,Connelly, J.A.,Gengenbach, B.G.,Wold, F.	Chem.	1979	1349-1355	254	762132
5	Comparison of sensitive and desensitized forms of maize homoserine dehydrogenase	Di Camelli, C.A.,Bryan, J.K.	Plant Physiol.	1980	176-183	65	16661156
6	Kinetic and regulatory mechanisms for (Escherichia coli) homoserine dehydrogenase-I. J. Biol	Wedler, F.C.,Ley, B.W.	Chem.	1993	4880-4888	268	8444866
7	Comparison of homoserine dehydrogenase from different plant sources	Grego, S.,Tricoli, D.,Di Marco, G.	Phytochemistry	1980	1619-1623	19	-----
8	Homoserine dehydrogenase of Rhodospirillum rubrum. Physical and chemical characterization. Eur. J	Epstein, C.C.,Datta, P.	Biochem.	1978	453-461	82	414912
9	Reaction of Tris with aldehydes. Effect of Tris on reactions catalyzed by homoserine dehydrogenase and glyceraldehyde-3-phosphate dehydrogenase. Biochim. Biophys	Ogilvie, J.W.,Whitaker, S.C.	Acta	1976	525-536	445	974097
10	Threonine-sensitive aspartate kinase and homoserine dehydrogenase from Pisum sativum	Aarnes, H.,Rognes, S.E.	Phytochemistry	1974	2717-2724	13	-----
11	Properties of homoserine dehydrogenase in a thermophilic bacterium. Biochim. Biophys	Cavari, B.Z.,Grossowicz, N.	Acta	1973	183-190	302	4144654
12	Studies on homoserine dehydrogenase from an extreme thermophile, Thermus flavus AT-62. Partial purification and properties. J	Saiki, T.,Shinshi, H.,Arima, K.	Biochem.	1973	1239-1248	74	4781056
13	Engineering the homoserine dehydrogenase and threonine dehydratase control points to analyse flux towards L-isoleucine in Corynebacterium glutamicum. Appl. Microbiol	Morbach, S.,Kelle, R.,Winkels, S.,Sahm, H.,Eggeling, L.	Biotechnol.	1996	612-620	45	-----
14	Purification and characterization of homoserine dehydrogenase from spinach leaves. Biochem. Mol. Biol	Pavagi, S.,Kochhar, S.,Kochhar, V.K.,Sane, P.V.	Int.	1995	649-658	36	7549965
15	Crystal structures of homoserine dehydrogenase suggest a novel catalytic mechanism for oxidoreductases. Nat. Struct	DeLaBarre, B.,Thompson, P.R.,Wright, G.D.,Berghuis, A.M.	Biol.	2000	238-244	7	10700284
16	The mechanism of antifungal action of (S)-2-amino-4-oxo-5-hydroxypentanoic acid, RI-331: The inhibition of homoserine dehydrogenase in Saccharomyces cerevisiae. Biochem. Biophys. Res	Yamaki, H.,Yamaguchi, M.,Imamura, H.,Suzuki, H.,Nishimura, T.,Saito, H.,Yamaguchi, H.	Commun.	1990	837-843	168	1970730
17	Inhibition of homoserine dehydrogenase I by L-serine in Escherichia coli. J	Hama, H.,Kayahara, T.,Tsuda, M.,Tsuchiya, T.	Biochem.	1991	604-608	109	1907968
18	Rapid purification and characterization of homoserine dehydrogenase from Saccharomyces cerevisiae. Arch. Biochem	Yumoto, N.,Kawata, Y.,Noda, S.,Tokushige, M.	Biophys.	1991	270-275	285	1897932
19	The kinetic mechanism of the bifunctional enzyme aspartokinase - Homoserine dehydrogenase I from Escherichia coli. Arch. Biochem	Angeles, T.S.,Viola, R.E.	Biophys.	1990	96-101	283	2241177
20	Homoserine dehydrogenase from Saccharomyces cerevisiae: kinetic mechanism and stereochemistry of hydride transfer. Biochim. Biophys	Jacques, S.L.,Ejim, L.J.,Wright, G.D.	Acta	2001	42-54	1544	11341915
21	Characterization of yeast homoserine dehydrogenase, an antifungal target: the invariant histidine 309 is important for enzyme integrity. Biochim. Biophys	Jacques, S.L.,Nieman, C.,Bareich, D.,Broadhead, G.,Kinach, R.,Honek, J.F.,Wright, G.D.	Acta	2001	28-41	1544	11341914
22	Role of serine 352 in the allosteric response of Serratia marcescens aspartokinase I-homoserine dehydrogenase I analyzed by using site-directed mutagenesis. J	Omori, K.,Komatsubara, S.	Bacteriol.	1993	959-965	175	8432719
23	Overproduction, purification, and characterization of recombinant bifunctional threonine-sensitive aspartate kinase-homoserine dehydrogenase from Arabidopsis thaliana. Protein Expr	Paris, S.,Wessel, P.M.,Dumas, R.	Purif.	2002	105-110	24	11812230
24	Mechanism of control of Arabidopsis thaliana aspartate kinase-homoserine dehydrogenase by threonine. J. Biol	Paris, S.,Viemon, C.,Curien, G.,Dumas, R.	Chem.	2003	5361-5366	278	12435751
25	Production and characterization of bifunctional enzymes. Domain swapping to produce new bifunctional enzymes in the aspartate pathway	James, C.L.,Viola, R.E.	Biochemistry	2002	3720-3725	41	11888289
26	New phenolic inhibitors of yeast homoserine dehydrogenase. Bioorg. Med	Ejim, L.,Mirza, I.A.,Capone, C.,Nazi, I.,Jenkins, S.,Chee, G.L.,Berghuis, A.M.,Wright, G.D.	Chem.	2004	3825-3830	12	15210149
27	Transcriptional and biochemical regulation of a novel Arabidopsis thaliana bifunctional aspartate kinase-homoserine dehydrogenase gene isolated by functional complementation of a yeast hom6 mutant. Plant Mol	Rognes, S.E.,Dewaele, E.,Aas, S.F.,Jacobs, M.,Frankard, V.	Biol.	2003	281-294	51	12602885
28	Identification of six novel allosteric effectors of Arabidopsis thaliana aspartate kinase-homoserine dehydrogenase isoforms. Physiological context sets the specificity. J. Biol	Curien, G.,Ravanel, S.,Robert, M.,Dumas, R.	Chem.	2005	41178-41183	280	16216875
29	Regulation of aspartokinase, aspartate semialdehyde dehydrogenase, dihydrodipicolinate synthase and dihydrodipicolinate reductase in Lactobacillus plantarum	Cahyanto, M.N.,Kawasaki, H.,Nagashio, M.,Fujiyama, K.,Seki, T.	Microbiology	2006	105-112	152	16385120
