ID	Title	Authors	Journal	Year	Pages	Volume	PMID
1	Metabolic engineering of a 1,2-propanediol pathway in Escherichia coli. Appl. Environ	Altaras, N.E.,Cameron, D.C.	Microbiol.	1999	1180-1185	65	10049880
2	Glycerol oxidation and triose reduction by pyridine nucleotide-linked enzyme in the fission yeast Schizosaccharomyces pombe. J. Gen	Kong, Y.C.,May, J.W.,Marshall, J.H.	Microbiol.	1985	1571-1579	131	-----
3	Purification and properties of glycerol:NAD+ 2-oxidoreductase (glycerol dehydrogenase) from Schizosaccharomyces pombe. J. Gen	Marshall, J.H.,May, J.W.,Sloan, J.	Microbiol.	1985	1581-1588	131	-----
4	Purification and properties of glycerol dehydrogenase from Candida valida. J. Gen	Gärtner, G.,Kopperschläger, G.	Microbiol.	1984	3225-3233	130	-----
5	Further characterization of glycerol dehydrogenase from Cellulomonas sp. NT3060. Agric. Biol	Nishise, H.,Nagao, A.,Tani, Y.,Yamada, H.	Chem.	1984	1603-1609	48	-----
6	Isolierung und Charakterisierung von Glycerol-Dehydrogenase aus Bacillus megaterium. Hoppe-Seyler's Z. Physiol	Scharschmidt, M.,Pfleiderer, G.,Metz, H.,Brummer, W.	Chem.	1983	911-921	364	-----
7	Specific affinity of glycerol dehydrogenase from Geotrichum candidium for 10-carboxydecyl-sepharose: its application to chromatography for purification of the enzyme. J	Sasaki, I.,Itoh, N.,Goto, H.,Yamamoto, R.,Tanaka, H.,Yamshita, K.,Yamashita J.,Horio, T.	Biochem.	1982	211-217	91	7200090
8	Glycerol dehydrogenase from Cellulomonas sp. NT 3060: purification and characterization. Agric. Biol	Yamada H.,Nagao, A.,Nishise, H.,Tani, Y.	Chem.	1982	2333-2339	46	-----
9	Crystallisation of glycerol dehydrogenase. Agric. Biol	Yamada, H.,Nagao, A.,Tani, Y.	Chem.	1980	471-472	44	-----
10	In vivo inactivation of glycerol dehydrogenase in Klebsiella aerogenes: properties of active and inactivated proteins. J	Ruch, F.E.,Lin, E.C.C.,Kowit, J.D.,Tang, C.T.,Goldberg, A.L.	Bacteriol.	1980	1077-1085	141	6988402
11	Purification and kinetic characterization of a monovalent cation-activated glycerol dehydrogenase from Aerobacter aerogenes. J. Biol	McGregor, W.G.,Philips, J.,Suelter, C.H.	Chem.	1974	3132-3139	249	4364415
12	The activation of glycerol dehydrogenase from Aerobacter aerogenes by monovalent cations. J. Biol	Lin, E.C.C.,Magasanik, B.	Chem.	1960	1820-1823	235	14417009
13	Glycerol dehydrogenase from Aerobacter aerogenes	Burton, R.M.	Methods Enzymol.	1955	397-400	1	-----
14	A glycerol dehydrogenase from Escherichia coli. J. Biol	Asnis, R.A.,Brodie, A.F.	Chem.	1953	153-159	203	13069498
15	Effects of organic solvents and chemical modification on the activity of glycerol dehydrogenase. Agric. Biol	Nishise, H.,Maehashi, S.,Yamada, H.,Tani, Y.	Chem.	1987	3347-3353	51	-----
16	Separation and characterization of the 1,3-propanediol and glycerol dehydrogenase activities from Clostridium butyricum E5 wild-type and mutant D. J. Appl	Malaoui, H.,Marczak, R.	Microbiol.	2001	1006-1014	90	11412332
17	Isotopic analysis of the reaction catalyzed by glycerol dehydrogenase	Leichus, B.N.,Blanchard, J.S.	Biochemistry	1994	14642-14649	33	7981227
18	Clostridium beijerinckii and Clostridium difficile detoxify methylglyoxal by a novel mechanism involving glycerol dehydrogenase. Appl. Environ	Liyanage, H.,Kashket, S.,Young, M.,Kashket, E.R.	Microbiol.	2001	2004-2010	67	11319074
19	Purification, crystallisation and quaternary structure analysis of a glycerol dehydrogenase S305C mutant from Bacillus stearothermophilus. Acta Crystallogr. Sect	Burke, J.,Ruzheinikov, S.N.,Sedelnikova, S.,Baker, P.J.,Holmes, D.,Muir, N.M.,Gore, M.G.,Rice, D.W.	D	2001	165-167	57	11134946
20	Characterisation of glycerol dehydrogenase from a methylotrophic yeast, Hansenula polymorpha Dl-1, and its gene cloning	Yamada-Onodera, K.,Yamamoto, H.,Emoto, E.,Kawahara, N.,Tani, Y.	Acta Biotechnol.	2002	337-353	22	-----
21	Expression of the gene of glycerol dehydrogenase from Hansenula polymorpha Dl-1 in Escherichia coli for the production of chiral compounds	Yamada-Onodera, K.,Yamamoto, H.,Kawahara, N.,Tani, Y.	Acta Biotechnol.	2002	355-362	22	-----
22	Towards the crystal structure of glycerol dehydrogenase from Thermotoga maritima. Acta Crystallogr. Sect	Srinivasan, V.,Ma, K.,Adams, M.W.,Newton, M.G.,Rose, J.P.,Wang, B.C.	D	2002	867-869	58	11976506
23	Characterization of cold-active dehydrogenases for secondary alcohols and glycerol in psychrotolerant bacteria isolated from Antarctic soil. Enzyme Microb	Stibor, M.,Potocky, M.,Pickova, A.,Karasova, P.,Russell, N.J.,Kralova, B.	Technol.	2003	532-538	32	-----
24	Chemical modification of specific active site amino acid residues of Enterobacter aerogenes glycerol dehydrogenase. J. Enzyme Inhib. Med	Pandey, A.,Iyengar, L.	Chem.	2002	49-53	17	12365461
25	Crystal structure of a zinc-containing glycerol dehydrogenase from Thermotoga maritima at 1.5 ANG resolution	Brinen, L.S.,Canaves, J.M.,Dai, X.,Deacon, A.M.,Elsliger, M.A.,Eshaghi, S.,Floyd, R.,Godzik, A.,Grittini, C.,Grzechnik, S.K.,Guda, C.,Jaroszewski, L.,Karlak, C.,Klock, H.E.,Koesema, E.,Kovarik, J.S.,Kreusch, A.,Kuhn, P.,Lesley, S.A.,McMullan, D.,McPhillips, T.M.,Miller, M.A.,Miller, M.D.,Morse, A.,Moy, K.,Ouyang, J.,Robb, A.,Rodrigues, K.,Selby, T.L.,Spraggon, G.,Stevens, R.C.,Van den Bedem, H.,Velasquez, J.,Vincent, J.,Wang, X.,West, B.,Wolf, G.,Taylor, S.S.,Hodgson, K.O.,Wooley, J.,Wilson, I.A.	Proteins	2003	371-374	50	12486729
26	Enzymatic redox cofactor regeneration in organic media: functionalization and application of glycerol dehydrogenase and soluble transhydrogenase in reverse micelles. Biotechnol	Ichinose, H.,Kamiya, N.,Goto, M.	Prog.	2005	1192-1197	21	16080701
